scope,dataset,sector_id,mean_return,std_return,up_day_ratio,down_day_ratio,autocorrelation_1,max_up_return,max_down_return,max_drawdown,return_q01,return_q05,return_q50,return_q95,return_q99,mean_rolling_volatility_20d,rotation_frequency,full_up_frequency,full_down_frequency,mean_up_sector_count,mean_down_sector_count,up_sector_count_q05,up_sector_count_q50,up_sector_count_q95,down_sector_count_q05,down_sector_count_q50,down_sector_count_q95
sector,real,energy,0.0005167518153028491,0.018356190717981207,0.5185764567852953,0.4814235432147047,-0.0033890667757159308,0.11482503353146416,-0.1474542164947484,-0.5310530654372462,-0.048134450749081584,-0.028502159095436727,0.0006614455904416042,0.02838950187207872,0.047587318533437194,0.016785718247353067,,,,,,,,,,,
sector,real,materials,0.00045692857182086046,0.01631890550322667,0.5248337895971842,0.4751662104028158,-0.027965795615074056,0.12472462705872485,-0.12537770935503575,-0.413957409787879,-0.04396465178553284,-0.025048720831009477,0.000819818318493463,0.025037480076063264,0.0418971060213733,0.0145369901791459,,,,,,,,,,,
sector,real,industrials,0.0006924270844960661,0.01833846799186199,0.5170121235823231,0.482987876417677,0.01046225477653417,0.12316273880557589,-0.13714890915281272,-0.5351952792855674,-0.048312306104624815,-0.02734512500629963,0.0005026744044478448,0.028556922202366403,0.04538997468433176,0.016439920564567504,,,,,,,,,,,
sector,real,consumer_discretionary,0.0005340806237525326,0.01561894195168961,0.5158388736800938,0.48416112631990615,-0.024231202783584482,0.09528116819411192,-0.1089570747443167,-0.3942427852838897,-0.038082275769612615,-0.024303245845087317,0.0004612808662365353,0.024875137440445803,0.03870460524489503,0.014236964641685595,,,,,,,,,,,
sector,real,consumer_staples,0.0002641298110645681,0.01188296632018131,0.5138834571763786,0.48611654282362143,-0.024260382264795752,0.0756811503114525,-0.11516115273383438,-0.3501333385860691,-0.034403422895601,-0.01813978419717562,0.00028420366946206127,0.018113345720411247,0.03131598543065734,0.010591199036205732,,,,,,,,,,,
sector,real,health_care,0.00029827346565693434,0.01436873248902563,0.5056707078607744,0.49432929213922566,-0.04822866711166317,0.09129202019923621,-0.08191231875130149,-0.3036506518333082,-0.04006136489273194,-0.022179720916385412,0.00016812886750698178,0.022575792787129643,0.037271992748048835,0.013211917939309523,,,,,,,,,,,
sector,real,financials,0.0007843287563614889,0.018140363680612993,0.5181853734845522,0.48181462651544776,0.05780388707381283,0.11106460480143543,-0.19493260800169132,-0.54276269706902,-0.047085323323567144,-0.02496323967679217,0.000508408525235223,0.028793842168127203,0.046336473443283364,0.01585101808068476,,,,,,,,,,,
sector,real,information_technology,0.0012361435588050624,0.021012780190882718,0.5342197888150176,0.4657802111849824,-0.024037491239176423,0.13979002165081322,-0.15962980583750438,-0.44371040289449404,-0.05402375336350056,-0.03320289345964718,0.0012350241919690437,0.03325810039605651,0.053587304982109014,0.019264525325823508,,,,,,,,,,,
sector,real,communication_services,0.0006178141843185004,0.014364586068577182,0.522878373093469,0.4771216269065311,0.00036654663185941026,0.07200706622386477,-0.09344579589673074,-0.30134731836141704,-0.03845328944499672,-0.021240703366249156,0.0006576025530975471,0.022699823178230112,0.037994938588671597,0.013035291657962208,,,,,,,,,,,
sector,real,utilities,0.00024187351674315988,0.01774198033816595,0.5021509581540868,0.49784904184591317,-0.025098782882821854,0.09277358786889216,-0.1270547664526814,-0.5502286912791725,-0.044648074156456705,-0.026964949305820458,0.00017253339245648647,0.028135060243315555,0.04904207233036708,0.016338672194314074,,,,,,,,,,,
sector,real,real_estate,0.0001458246629153277,0.01820940015524896,0.5001955416503715,0.49980445834962844,0.011096207419382885,0.13816629290288596,-0.1180074935851086,-0.6307813442290697,-0.04687684860172498,-0.027383355327133308,1.504295803034239e-05,0.027336032017661417,0.04797765066247661,0.016239854706683206,,,,,,,,,,,
market,real,__market__,,,,,,,,,,,,,,,0.979264475743349,0.07274149393820883,0.07430582714118107,5.6734454438795465,5.3265545561204535,0.0,6.0,11.0,0.0,5.0,11.0
sector,generated,energy,-0.035059709023048634,0.03903823527265163,0.19327731092436976,0.8067226890756303,0.4465070069680349,0.06426115935301246,-0.05648666837215566,-0.9836841574134602,-0.056486668372155636,-0.05648666837215544,-0.056486668372155435,0.06426115935301224,0.06426115935301224,0.03165499740074982,,,,,,,,,,,
