epoch,train_loss,validation_loss
1,0.2749385190281001,0.8365827016532421
2,0.1251634108749303,0.7446892745792866
3,0.08911686593836005,0.7252957299351692
4,0.07441701604561372,0.6777482070028782
5,0.0663506459783424,0.6620341874659061
6,0.06062853912060911,0.6456773784011602
7,0.05746750990775498,0.6352253463119268
8,0.05466987700624899,0.6242516413331032
9,0.05261256545782089,0.608313774690032
10,0.050641018897295,0.6086064092814922
11,0.04952551830898632,0.599368991330266
12,0.0485596489161253,0.5912247337400913
13,0.04824770563705401,0.5813948810100555
14,0.04712005857039581,0.5795001648366451
15,0.04665506089275533,0.5690839197486639
16,0.045720677145502785,0.5654254779219627
17,0.0449347257275473,0.5627981405705214
18,0.04419113272293047,0.5512062050402164
19,0.04347735914317044,0.5564291346818209
20,0.04346651854840192,0.5463456995785236
21,0.04264243556694551,0.5454454887658358
22,0.042195605622096496,0.5425669495016336
23,0.04202137091620402,0.5309026511386037
24,0.041392355649308724,0.5314797479659319
25,0.04151931032538414,0.5250607281923294
26,0.04063157652589408,0.5228930450975895
27,0.040447380393743515,0.530732337385416
28,0.04028428430584344,0.5173106109723449
29,0.0399144898084077,0.52749028429389
30,0.03937025122683157,0.5127752581611276
31,0.03872441695156423,0.5172674637287855
32,0.038903450847349384,0.5099284527823329
33,0.03831115949221633,0.5107268299907446
34,0.038198516026816585,0.5097702564671636
35,0.03803929889743978,0.5111559210345149
36,0.03730281442403793,0.516348990611732
37,0.03750488432970914,0.5150607135146856
38,0.0368853464553302,0.516937829554081
39,0.03666973037814552,0.5149581655859947
40,0.03694013658572327,0.5140085630118847
41,0.036771211942488495,0.5130811091512442
42,0.03600388316606933,0.5119225783273578
43,0.03526189703155647,0.5189180728048086
44,0.03541298574683341,0.5177391115576029
